p_0,p_1,p_2,p_3,p_4,R_prob,CS,US
0.23657270574953593,0.11518294039739102,0.41619184315315677,0.02938630289765746,0.2026662078012159,0.41619184315315677,1.0,0.0
0.20759110233743364,0.11955557198074886,0.4319915231390015,0.03050188021948217,0.21035992232225126,0.4319915231390015,1.0,0.0
0.18155016128849932,0.1234845278660323,0.4461880646226794,0.03150426379571434,0.21727298242595652,0.4461880646226794,1.0,0.0
0.1587453630452422,0.1269252271135049,0.4586203827819555,0.032382079815318765,0.22332694724282937,0.4586203827819555,1.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,1.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.1392941822639477,0.12985994560400685,0.46922443485324056,0.03313080637312072,0.22849063090450825,0.46922443485324056,0.0,0.0
0.12315888686705147,0.132294376206622,0.4780207909458637,0.033751895874959796,0.23277405010430507,0.4780207909458637,1.0,0.0
0.11018784567266635,0.13425139644422276,0.48509211467631386,0.034251184999552105,0.2362174582060292,0.48509211467631386,1.0,0.0
0.1001639964368504,0.13576375582379538,0.4905567402148067,0.03463702903743569,0.2388784784858824,0.4905567402148067,1.0,0.0
0.09285070907356205,0.13686715617222237,0.4945436693829917,0.03491853649630406,0.24081992887368048,0.4945436693829917,1.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,1.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08802903263197356,0.1375946319572377,0.4971722660030315,0.03510413536793745,0.2420999340385739,0.4971722660030315,0.0,0.0
0.08552413942793081,0.1379725604997407,0.4985378395518733,0.03520055522477864,0.24276490529442715,0.4985378395518733,1.0,0.0
0.08522142419642385,0.13801823299629754,0.49870286850892037,0.035212207521666365,0.24284526677544208,0.49870286850892037,1.0,0.0
0.08707390376633076,0.13773873808500087,0.49769296633171295,0.03514090076310142,0.2423534910526067,0.49769296633171295,1.0,0.0
0.09110260844311524,0.13713090279517104,0.4954966680888045,0.0349858254379083,0.24128399523375924,0.4954966680888045,1.0,0.0
