t,surprise_proxy,norm_alignment,gate_energy,step_kl
0,-0.10544631018608529,-0.12357637427606152,0.13108992482909243,0.00285832198793495
1,-0.181161904047916,-0.06992962784431206,0.12650040632630163,0.002287748973428391
2,-0.07906092302158403,-0.04255141141917695,0.12159897199909868,0.0017220256300891303
3,-0.11444543800592534,-0.08696062895407501,0.11720645090618871,0.000913742654072054
4,-0.030003971563398624,-0.11818334007851056,0.11377929195009959,0.00019284821518251115
5,0.02467175465182966,-0.0845352973899637,0.11323301156897954,0.00045777456294065046
6,-0.09822068900040773,-0.0848615271742625,0.11359822808761802,0.0007948100576371165
7,-0.12473890176995268,-0.10581223440294912,0.11455169895223467,0.0015418557425850412
8,-0.05117276804681276,-0.14364180685771713,0.11733539638519412,0.002534701389858365
9,0.002759622725619869,-0.07303457408825464,0.1217779707502232,0.004126218671821319
10,0.05200158845363687,-0.16468144019995867,0.12657601270908442,0.004335867558999147
11,-0.021985190378050065,-0.1627240164141999,0.1309274987208723,0.003974246182185452
12,-0.002780178277449561,-0.1758646459976367,0.13402187579377212,0.005619893632229819
13,0.003799448469076638,-0.20908162195158025,0.13613453923185642,0.004602428220396637
14,0.0737308474268858,-0.2695804652714895,0.13663934668780214,0.004847938334788875
15,0.10453486767109017,-0.3096339135949099,0.1359524418355546,0.00480750681620557
16,0.031113958631929402,-0.31901717197447677,0.13365580236277103,0.0028835215070271277
17,0.027540704100336846,-0.36488906054194775,0.1308862142686495,0.002781542350399454
18,-0.039288652414575846,-0.38812360194404394,0.12794085959483165,0.0022546219617098876
19,0.09429535737568813,-0.40894364760985297,0.12479949054753377,0.0020624305127741236
20,-0.048811896769555836,-0.4397552321688471,0.12091617027566906,0.001442520429747305
21,0.0019877456094715596,-0.44478341044923475,0.11759486134700611,0.0011789762262090163
22,0.21873137641095602,-0.44956407102414897,0.11481343951060455,0.00137588203546983
23,-0.06279002160682115,-0.436656891063102,0.11183619577013937,0.0008590164051189985
24,0.20945494638140147,-0.47110493071776693,0.10961574382732668,0.0006538706459902854
25,0.02643460286928773,-0.47276847320683657,0.10764165999614606,0.00043318763302575434
26,-0.018019267895958972,-0.4832589890643355,0.10610606638352146,0.0005364538362557313
27,0.011846739160182918,-0.5168385005848245,0.104460942233266,0.0004454592355379039
28,-0.04394041502314353,-0.46644637815995554,0.10282665585875159,0.0003223796670363553
29,0.05228130180508377,-0.4882891072440628,0.10182640661802067,0.00027063687399482187
30,-0.02587499150341147,-0.5081888714927076,0.10070016626500267,0.00021414397821237642
31,0.04565249863702325,-0.48207268028658423,0.09987259520115191,0.0002088155088371021
32,0.14704351679478603,-0.4775630955201063,0.09932905811640655,0.0001553900824118554
33,0.04482329548772802,-0.508918465204593,0.09878245081088102,0.00010866677028668827
34,-0.10948376079639327,-0.5205306218034885,0.09836860004218731,0.00012037756864195938
35,0.029298084584163293,-0.4955884179102673,0.09768038541910473,0.00011773699515688405
36,0.05898289834751274,-0.5249833364539496,0.09737352149020179,0.00013077935670390445
37,-0.05688066058366541,-0.5356480417929201,0.0965030689076949,0.00011574052873773323
38,-0.01713857849336032,-0.4855958695783017,0.09586646391533438,9.347172433267961e-05
39,0.06109467716609932,-0.4702089065293249,0.09556841784374696,9.68008554773245e-05
40,0.12886372684013192,-0.5169892182530245,0.09556961293309711,6.727077744989385e-05
41,0.08139254296467284,-0.4890804437732037,0.09519811809988861,5.96660334529738e-05
42,0.036852960654856375,-0.5047610191952957,0.09509786195155348,5.215924438017511e-05
43,0.003942794201763888,-0.5202825964881813,0.09504281081351493,4.0450808733434585e-05
44,0.1027647584192629,-0.476641685252619,0.09487348365460994,4.6615929118746255e-05
45,0.08794335574671291,-0.48815246011180835,0.09495819382230503,3.3821636299904734e-05
46,0.2065852982117945,-0.48275500291560663,0.09501933257992615,3.325246395414267e-05
47,0.06690644390702177,-0.46563727628429324,0.0949944632373837,4.056000401484887e-05
48,0.1385036231097049,-0.5034656689631873,0.09519920297620427,2.590994391666629e-05
49,0.032149055463122925,-0.4941225201976882,0.09516377105537295,2.4372907777537673e-05
50,0.18772685976563847,-0.45916642304078753,0.09513331408746725,3.29880411098675e-05
51,0.08321700346873397,-0.5417067220188104,0.09518914013968223,3.069594075594675e-05
52,0.05645096770236481,-0.47898691505622865,0.0947875814281635,2.929843369667737e-05
53,-0.07554568397822449,-0.48662932349074933,0.09492835643718528,1.8088049709482875e-05
54,0.11967619903432243,-0.46051230015978184,0.09506276355224844,2.695246202273078e-05
55,-0.08377367066427066,-0.486917013026634,0.0951444653059778,1.3166954037582695e-05
56,0.07526752773554474,-0.4543170636066836,0.0951923684376971,2.6657559609581302e-05
57,0.008459624876324524,-0.4774429886245263,0.09538014042813121,1.1013528149665608e-05
58,-0.0699958373365253,-0.4557554335942237,0.09549823669411345,2.0262776294131174e-05
59,-0.05323206089766743,-0.49708270657423365,0.09582169176857504,1.0272030710605553e-05
60,-0.5709228221006029,-0.4443082087531649,0.09581624838333985,0.00014097587009665876
61,-0.5928446234469966,-0.4973714581911402,0.09511432060511393,0.00011946438772780072
62,-0.6153024400730248,-0.47250508147027476,0.09425250520034914,0.00011838782241018931
63,-0.5871226511750862,-0.5264393714853015,0.09346013566566974,8.732667105980676e-05
64,-0.605931711694944,-0.4869173363579332,0.09266396296093564,0.00010703697288445508
65,-0.5299749452671799,-0.5501723644977045,0.0919056459179757,0.00010682122432344372
66,-0.5246154670878284,-0.5109598800287005,0.09083579341370787,0.00011358864587911892
67,-0.6182877763351231,-0.47414466228333235,0.0899689144736647,4.315855427072476e-05
68,-0.6438460088928957,-0.4561239508214789,0.08964035131543598,8.104375751646297e-05
69,-0.635612038307133,-0.4822757558791464,0.08910770450981376,6.392983129073338e-05
70,-0.4820024040996478,-0.512089616756298,0.08862766498226948,0.00010014007567932351
71,-0.5387371544931782,-0.4674143792947364,0.08779898337578386,8.578954264386913e-05
72,-0.6870403289496401,-0.4903050224495452,0.08731627497174657,5.083563641150821e-05
73,-0.6566162433257332,-0.4891495730821866,0.08681947316312101,5.0257601673506384e-05
74,-0.610973780525654,-0.4936132277354697,0.08640220780570664,7.148993224636466e-05
75,-0.5591966239423911,-0.4931657828773297,0.08580414715338255,5.432206159356738e-05
76,-0.6299756866630803,-0.4810904610327978,0.08540551221359824,5.380865282648315e-05
77,-0.6011695151047343,-0.48867388643196663,0.08498907270567822,4.5165813173374684e-05
